Phase,TaskID,Title,Branch,Commit,CopilotPrompt
Phase 10 — Admin,T046,Admin route guard,feat/admin-gate,feat: admin role guard for /admin,Protect /admin routes; only profiles.role='admin' can access; add layout with sidebar nav.
Phase 10 — Admin,T047,Settings editor UI,feat/admin-settings,feat: admin settings editor,"CRUD editor for auction, fees, legal, inspection, notifications; JSON editor with validation and save + cache bust."
Phase 10 — Admin,T048,KYC manager,feat/admin-kyc,feat: approve/reject KYC with notes,Table of profiles with kyc_status; preview documents; approve/reject with reason; notify user; log audit.
Phase 10 — Admin,T049,Listings moderation,feat/admin-listings,feat: listings moderation & inspections overview,Search/filter listings; toggle status; view associated inspections; bulk operations.
Phase 10 — Admin,T050,Payments & deposits,feat/admin-payments,feat: deposits and payouts dashboard,Show authorized/captured/refunded deposits; order status; manual refund with confirmation and audit trail.
Phase 10 — Admin,T051,Notification templates CMS,feat/admin-templates,feat: edit notification templates,CRUD for notification_templates with preview and variables docs; simple versioning.
Phase 10 — Admin,T052,Legal CMS (Terms/Privacy),feat/admin-cms-legal,feat: CMS pages for Terms & Privacy,Editable markdown for Terms/Privacy; publish version to app_settings; force re-accept when version changes.
Phase 10 — Admin,T053,Audit log viewer,feat/admin-audit,feat: audit log viewer,"Add audit log viewer with filters by actor, action, date range."
Phase 11 — UX & Identity,T054,Brand theme & favicon,ui/brand,"ui: apply brand colors, fonts, favicon",Set Tailwind theme variables for brand palette; load Inter; add favicon and navbar logo; dark/light modes optional.
Phase 11 — UX & Identity,T055,Landing hero + CTA,ui/landing,"ui: landing hero, CTA, how-it-works","Build hero section with headline/subhead, Start Selling CTA, and 3-step how it works; responsive."
Phase 11 — UX & Identity,T056,Browse filters & URL state,ui/filters,ui: filter sidebar with URL params,"Implement filters (material, price, type, location) synced to URLSearchParams; SSR results and pagination."
Phase 11 — UX & Identity,T057,Error/empty states,ui/states,ui: 404/500 pages + empty states,Add 404/500 pages; components for empty listings/bids/notifications; friendly copy.
Phase 11 — UX & Identity,T058,Loading & skeletons,ui/loading,ui: skeleton loaders and spinners,"Add skeleton components for cards, tables; use animated shimmer; integrate spinner.gif."
Phase 12 — Data & Analytics,T059,Price trend charts,feat/analytics-prices,feat: material price trend charts,Aggregate historical winning bids by material per week; expose API; render line chart client-side with caching.
Phase 12 — Data & Analytics,T060,Trading volume tiles,feat/analytics-volumes,feat: trading volumes and active users,"Dashboard KPIs: active auctions, weekly volume, new sellers, returning buyers; server actions + caching."
Phase 12 — Data & Analytics,T061,Seller reputation score,feat/reputation-score,feat: seller reputation scoring,"Compute simple score based on fulfilment time, disputes, cancellations; show badge on seller profile."
Phase 12 — Data & Analytics,T062,Export reports CSV,feat/export-reports,feat: export analytics to CSV,Admin can export price/volume reports as CSV; streamed response.
Phase 13 — Legal & Compliance,T063,Legal pages (Terms/Privacy/Refund),legal/pages,"legal: add Terms, Privacy, Refund policy",Add markdown pages reflecting Auctioneers Act/Consumer Protection and PIPEDA; link in footer.
Phase 13 — Legal & Compliance,T064,Consent gating before bid,legal/require-consent,legal: enforce T&C consent gating,Require latest terms_version before POST /bid or /deposit; show modal to accept; record acceptance.
Phase 13 — Legal & Compliance,T065,Privacy & data retention,legal/privacy-retention,legal: document privacy & retention policy,Add section to Privacy explaining retention of bids/orders/kyc docs; provide contact for data requests.
Phase 13 — Legal & Compliance,T066,Cookie banner,legal/cookies,legal: add cookie/consent banner,Implement cookie consent banner with minimal analytics toggle; store choice.
Phase 14 — QA/Security/Perf,T067,Rate limits for APIs,sec/rate-limit,sec: add per-IP rate-limit to API routes,"Add in-memory or Upstash-based rate limiter for write endpoints: bid, deposit, checkout, settings."
Phase 14 — QA/Security/Perf,T068,Zod validation,sec/validation,sec: add zod schemas for forms/APIs,"Introduce zod schemas for listing, bid, inspection, settings; return typed errors."
Phase 14 — QA/Security/Perf,T069,RLS policy review,sec/rls-review,sec: tighten RLS policies,Audit all RLS to ensure least privilege and PII protection; add tests/queries to verify.
Phase 14 — QA/Security/Perf,T070,Accessibility pass,qa/a11y,"qa: improve a11y (aria, contrast, keyboard)","Add aria labels, focus states, contrast fixes, keyboard navigation and skip-to-content link."
Phase 14 — QA/Security/Perf,T071,Manual E2E checklist,qa/e2e-happy,qa: document manual E2E flow,Write a checklist: signup -> KYC -> create listing -> add inspection -> deposit -> bid -> win -> invoice -> pay -> fulfilment.
Phase 15 — Deployment,T072,Vercel config,ops/vercel,ops: add vercel.json and env mapping,"Add vercel.json, configure build output, and map environment variables for prod."
Phase 15 — Deployment,T073,Supabase production setup,ops/supabase-prod,ops: connect to production Supabase and run migrations,Point to prod project; run migrations; verify RLS and storage buckets; set policies.
Phase 15 — Deployment,T074,Stripe webhooks (prod),ops/stripe-webhooks,ops: configure stripe webhooks in prod,Set STRIPE_WEBHOOK_SECRET in prod; register webhook endpoints; test payment events E2E.
Phase 15 — Deployment,T075,Custom domain & SSL,ops/domain,ops: configure custom domain and SSL,Add domain DNS records; force HTTPS; redirect www→root; add security headers (HSTS).
Phase 15 — Deployment,T076,Release tag v0.1.0,release/v0.1.0,chore: tag v0.1.0 MVP,Create CHANGELOG.md with features and known limitations; create git tag v0.1.0 and push.
